Buenbit	2020-06-03	DEPOSITO			ARS	50000	Patagonia 160
Buenbit	2020-05-21	COMPRA	DAI	240	ARS	-30000	
Buenbit	2020-05-21	DEPOSITO			ARS	30000	Patagonia 160
Buenbit	2020-05-13	COMPRA	DAI	156.25	ARS	-20000	
Buenbit	2020-05-13	COMPRA	DAI	78.12	ARS	-9999.36	
Buenbit	2020-05-13	DEPOSITO			ARS	10000	Brubank
Buenbit	2020-05-13	DEPOSITO			ARS	20000	Patagonia 160
Buenbit	2020-05-13	RETIRO			USD	-1006.93	HSBC USD
Buenbit	2020-05-13	VENTA	DAI	-941.06	USD	1006.93	
Buenbit	2020-05-13	TRANSFER	DAI	941.06	DAI	941.06	Satoshi
Buenbit	2020-05-13	TRANSFER	DAI	2457.94	DAI	2457.94	Satoshi
Buenbit	2020-05-12	COMPRA	DAI	393.7	ARS	-49999.9	
Buenbit	2020-05-12	DEPOSITO			ARS	50000	Patagonia 160
Buenbit	2020-05-12	COMPRA	DAI	239.04	ARS	-29999.52	
Buenbit	2020-05-12	DEPOSITO			ARS	30000	HSBC AR
